Model,Train MSE,Test MSE,Parameters
PQC-3 (Random Init),0.2304931570137075,0.19845378889604975,60
PQC-3 (Alg.1: Convex+Refine),0.13437478712213574,0.14516588715893408,60
Classical MLP,0.009085122554097325,0.008574784500524402,1153
