Model,Train MSE,Test MSE,Parameters
PQC-3 (Random Init),0.22452491851365536,0.32941016516534655,60
PQC-3 (Alg.1: Convex+Refine),0.22912717785390266,0.23101028476433264,60
Classical MLP,0.001419563840354691,0.0216244887560606,1537
